IDMatakuliah,NamaMatakuliah,Hari,JamMulai,JamSelesai
1,Bahasa,Senin,08:50,10:30
2,Arkom,Senin,11:30,13:00
3,Jarkom,Selasa,08:50,10:30
4,Algo TM,Selasa,10:40,12:20
5,SBD,Selasa,12:30,14:10
6,Matdis,Selasa,14:20,16:00
7,MKWU,Rabu,08:50,10:30
8,PRPL,Rabu,12:30,14:10
9,Teori Graf,Rabu,16:10,17:50
10,Algo Prak,Rabu,18:00,20:40
11,Jarkom Prak,Kamis,18:00,20:40
12,SBD Prak,Jumat,07:00,09:40
